Taxonomy ID	Definition	Taxonomy LINEAGE	Keywords	Disease	Comment	Reference
71421	Haemophilus influenzae Rd KW20 (serotype d)	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus	Human pathogen	Haemophilus influenzae infection	Avirulent laboratory strain.	AUTHORS:Fleischmann RD, Adams MD, White O, Clayton RA, Kirkness EF, Kerlavage AR, Bult CJ, Tomb JF, Dougherty BA, Merrick JM, et al., TITLE:Whole-genome random sequencing and assembly of Haemophilus influenzae Rd., JOURNAL:Science 269:496-512 (1995)
243273	Mycoplasma genitalium G37	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma	Human pathogen	Non-chlamydial non-gonococcal urethritis	Isolated from a male with non-gonococcal urethritis.	AUTHORS:Fraser CM, Gocayne JD, White O, Adams MD, Clayton RA, Fleischmann RD, Bult CJ, Kerlavage AR, Sutton G, Kelley JM, et al., TITLE:The minimal gene complement of Mycoplasma genitalium., JOURNAL:Science 270:397-403 (1995)
243232	Methanocaldococcus jannaschii DSM 2661	Archaea; Euryarchaeota; Methanomada group; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus	Autotrophic methanogen		Autotrophic and strict anaerobe.; Produces methane.; Grows at pressures of up to more than 200 atm and at an optimum temperature of near 85 deg C.; Originally isolated from a sediment sample collected from the sea floor surface at the base of a 2600-m-deep "white smoker" chimney on the East Pacific Rise.	AUTHORS:Bult CJ, White O, Olsen GJ, Zhou L, Fleischmann RD, Sutton GG, Blake JA, FitzGerald LM, Clayton RA, Gocayne JD, et al., TITLE:Complete genome sequence of the methanogenic archaeon, Methanococcus jannaschii., JOURNAL:Science 273:1058-73 (1996)
1148	Synechocystis sp. PCC 6803	Bacteria; Cyanobacteria; Synechococcales; Merismopediaceae; Synechocystis; unclassified Synechocystis	Photosynthesis			REFERENCE:PMID:8905231, AUTHORS:Kaneko T, Sato S, Kotani H, Tanaka A, Asamizu E, Nakamura Y, Miyajima N, Hirosawa M, Sugiura M, Sasamoto S, et al., TITLE:Sequence analysis of the genome of the unicellular cyanobacterium Synechocystis sp. strain PCC6803. II. Sequence determination of the entire genome and assignment of potential protein-coding regions., JOURNAL:DNA Res 3:109-36 (1996)
559292	Saccharomyces cerevisiae S288c	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces				REFERENCE:PMID:8849441, AUTHORS:Goffeau A, Barrell BG, Bussey H, Davis RW, Dujon B, Feldmann H, Galibert F, Hoheisel JD, Jacq C, Johnston M, et al., TITLE:Life with 6000 genes., JOURNAL:Science 274:546, 563-7 (1996)
272634	Mycoplasma pneumoniae M129	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma	Human pathogen	Mycoplasma pneumonia	Isolated from a patient with pneumonia.	AUTHORS:Himmelreich R, Hilbert H, Plagens H, Pirkl E, Li BC, Herrmann R., TITLE:Complete sequence analysis of the genome of the bacterium Mycoplasma pneumoniae., JOURNAL:Nucleic Acids Res 24:4420-49 (1996)
511145	Escherichia coli K-12 MG1655	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia			Colonizes the lower gut of animals, and, as a facultative anaerobe.; Maintained as a laboratory strain with minimal genetic manipulation, having only been cured of the temperate bacteriophage lambda and F plasmid by ultraviolet light and acridine orange, respectively.	AUTHORS:Blattner FR, Plunkett G 3rd, Bloch CA, Perna NT, Burland V, Riley M, Collado-Vides J, Glasner JD, Rode CK, Mayhew GF, et al., TITLE:The complete genome sequence of Escherichia coli K-12., JOURNAL:Science 277:1453-62 (1997)
85962	Helicobacter pylori 26695	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter	Human pathogen	Helicobacter pylori infection, Peptic ulcer	Isolated from a patient in the United Kingdom with gastritis.	AUTHORS:Tomb JF, White O, Kerlavage AR, Clayton RA, Sutton GG, Fleischmann RD, Ketchum KA, Klenk HP, Gill S, Dougherty BA, et al., TITLE:The complete genome sequence of the gastric pathogen Helicobacter pylori., JOURNAL:Nature 388:539-47 (1997)
187420	Methanothermobacter thermautotrophicus Delta H	Archaea; Euryarchaeota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter	Autotrophic methanogen		Lithoautotrophic, thermophilic archaeon.; Conserves energy by using H2 to reduce CO2 to CH4 and synthesizes all of its cellular components from these same gaseous substrates plus N2 or NH4+ and inorganic salts.; Isolated in 1971 from sewage sludge in Urbana, Illinois.	AUTHORS:Smith DR, Doucette-Stamm LA, Deloughery C, Lee H, Dubois J, Aldredge T, Bashirzadeh R, Blakely D, Cook R, Gilbert K, et al., TITLE:Complete genome sequence of Methanobacterium thermoautotrophicum deltaH: functional analysis and comparative genomics., JOURNAL:J Bacteriol 179:7135-55 (1997)
224308	Bacillus subtilis subsp. subtilis 168	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus			Nonpathogenic, aerobic, endospore-forming, rod-shaped bacterium, commonly found in soil.	AUTHORS:Kunst F, Ogasawara N, Moszer I, Albertini AM, Alloni G, Azevedo V, Bertero MG, Bessieres P, Bolotin A, Borchert S, et al., TITLE:The complete genome sequence of the gram-positive bacterium Bacillus subtilis., JOURNAL:Nature 390:249-56 (1997)
