virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
438782	Abaca bunchy top virus	Viruses; Nanoviridae; Babuvirus	NC_010314, NC_010315, NC_010316, NC_010317, NC_010318, NC_010319				46838	Musa sp.	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Petrosaviidae; Zingiberales; Musaceae; Musa	17978886	Literature, NCBI Virus, RefSeq		
438782	Abaca bunchy top virus	Viruses; Nanoviridae; Babuvirus	NC_010314, NC_010315, NC_010316, NC_010317, NC_010318, NC_010319				214697	Musa acuminata AAA Group	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Petrosaviidae; Zingiberales; Musaceae; Musa	17978886	Literature		
1241371	Abalone herpesvirus Victoria/AUS/2009	Viruses; Herpesvirales; Malacoherpesviridae; Aurivirus; Haliotid herpesvirus 1	NC_018874				6451	Haliotidae	Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea		UniProt		
1241371	Abalone herpesvirus Victoria/AUS/2009	Viruses; Herpesvirales; Malacoherpesviridae; Aurivirus; Haliotid herpesvirus 1	NC_018874				36100	Haliotis rubra	Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis		RefSeq		
491893	Abalone shriveling syndrome-associated virus	Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_011646				37770	Haliotis diversicolor aquatilis	Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis; Haliotis diversicolor		RefSeq		
11788	Abelson murine leukemia virus	Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Gammaretrovirus; unclassified Gammaretrovirus	NC_001499				10090	Mus musculus	Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Muridae; Murinae; Mus; Mus		UniProt		
2025595	Abisko virus	Viruses; Riboviria; unclassified Riboviria	NC_035470				201501	Epirrita autumnata	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Geometroidea; Geometridae; Larentiinae; Epirrita		NCBI Virus, RefSeq		
665102	Abutilon Brazil virus	Viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139				3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae	20349251	Literature, NCBI Virus, RefSeq		
665102	Abutilon Brazil virus	Viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139				4100	Nicotiana benthamiana	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana	20349251	Literature		
665102	Abutilon Brazil virus	Viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139				145753	Malva parviflora	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae; Malva	20349251	Literature		
1312723	Abutilon golden mosaic Yucatan virus	Viruses; Geminiviridae; Begomovirus; Abutilon golden mosaic virus	NC_038438				1312722	Abutilon permolle	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae; Abutilon		RefSeq		
932071	Abutilon mosaic Bolivia virus	Viruses; Geminiviridae; Begomovirus	NC_015045, NC_015048				3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae	21170729	Literature, NCBI Virus, RefSeq		
1046572	Abutilon mosaic Brazil virus	Viruses; Geminiviridae; Begomovirus	NC_016574, NC_016577				108377	Sida rhombifolia	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae; Sida		NCBI Virus, RefSeq		
1046572	Abutilon mosaic Brazil virus	Viruses; Geminiviridae; Begomovirus	NC_016574, NC_016577				243762	Blainvillea rhomboidea	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Asterales; Asteraceae; Asteroideae; Heliantheae; Blainvillea		NCBI Virus, RefSeq		
10815	Abutilon mosaic virus	Viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae		RefSeq, UniProt		
10815	Abutilon mosaic virus	Viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				3635	Gossypium hirsutum	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae; Gossypium		UniProt		
10815	Abutilon mosaic virus	Viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				3885	Phaseolus vulgaris	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus	18678753	Literature, UniProt		
10815	Abutilon mosaic virus	Viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				47605	Hibiscus	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae		UniProt		
10815	Abutilon mosaic virus	Viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				96479	Malva	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae		UniProt		
10815	Abutilon mosaic virus	Viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				108335	Sida	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae		UniProt		
10815	Abutilon mosaic virus	Viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				2059498	Callianthe sellowiana	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae; Callianthe		NCBI Virus		
169102	Abutilon yellows virus	Viruses; Riboviria; Closteroviridae; Crinivirus	NC_043221, NC_043222				3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Magnoliopsida; Malvales; Malvaceae; Malvoideae				
554168	Acanthamoeba castellanii mamavirus	Viruses; Mimiviridae; Mimivirus; unclassified Mimivirus	JF801956				5755	Acanthamoeba castellanii	Eukaryota; Discosea; Longamoebia; Acanthamoebidae; Acanthamoeba				
212035	Acanthamoeba polyphaga mimivirus	Viruses; Mimiviridae; Mimivirus	NC_014649				5755	Acanthamoeba castellanii	Eukaryota; Discosea; Longamoebia; Acanthamoebidae; Acanthamoeba		NCBI Virus, RefSeq		
212035	Acanthamoeba polyphaga mimivirus	Viruses; Mimiviridae; Mimivirus	NC_014649				5757	Acanthamoeba polyphaga	Eukaryota; Discosea; Longamoebia; Acanthamoebidae; Acanthamoeba		UniProt		
1269028	Acanthamoeba polyphaga moumouvirus	Viruses; Mimiviridae; unclassified Mimiviridae; Moumouvirus	NC_020104				5757	Acanthamoeba polyphaga	Eukaryota; Discosea; Longamoebia; Acanthamoebidae; Acanthamoeba		RefSeq		
322019	Acanthocystis turfacea chlorella virus 1	Viruses; Phycodnaviridae; Chlorovirus	NC_008724				554066	Chlorella heliozoae	Eukaryota; Viridiplantae; Chlorophyta; Trebouxiophyceae; Chlorellales; Chlorellaceae; Chlorella	17276475	Literature, NCBI Virus, RefSeq		
